horas_estudos,frequencia,nota,aprovado
8.4,88,8.6,1
0.4,89,2.9,0
2.5,50,2.6,0
5.5,67,5.9,1
2.0,45,8.5,1
9.5,82,4.7,0
1.8,30,6.1,1
0.2,65,3.2,0
4.6,65,5.5,1
6.3,73,7.6,1
7.5,98,2.6,0
8.7,32,7.5,1
3.5,26,2.2,0
2.1,69,3.3,0
5.0,25,3.5,0
0.3,86,4.5,0
3.4,38,7.0,1
0.9,84,2.9,0
8.5,20,6.8,1
7.8,63,8.4,1
9.6,81,4.8,0
9.5,98,2.6,0
2.0,45,3.6,0
7.6,92,7.1,1
0.8,88,3.4,0
3.5,49,4.8,0
7.9,40,6.4,1
3.8,20,2.6,0
4.5,39,3.5,0
6.5,75,7.3,1
3.7,36,4.7,0
2.2,37,3.5,0
1.2,83,4.0,0
8.1,73,7.5,1
4.7,37,4.4,0
9.3,58,7.0,1
9.4,33,6.2,1
0.2,86,3.2,0
7.5,93,3.9,0
2.2,27,6.4,1
4.9,73,5.6,1
4.5,88,5.6,1
3.9,100,6.7,1
9.1,99,4.3,0
9.7,81,2.9,0
9.7,82,3.3,0
9.2,90,4.3,0
3.5,30,7.5,1
8.2,63,7.8,1
4.4,31,4.8,0
2.1,50,4.4,0
6.1,53,5.2,1
3.3,27,8.3,1
6.1,49,6.7,1
3.4,98,5.5,1
0.0,52,7.9,1
6.2,59,5.9,1
6.8,67,7.8,1
8.9,22,5.5,1
7.1,32,5.0,0
7.2,98,7.8,1
1.8,91,5.6,1
3.0,79,4.3,0
1.9,31,2.2,0
0.3,70,3.0,0
3.2,23,1.7,0
0.5,31,2.2,0
4.0,54,8.8,1
8.6,95,4.8,0
9.3,21,6.2,1
2.9,73,4.3,0
9.6,74,8.0,1
9.6,91,4.2,0
1.4,49,2.3,0
8.4,62,7.2,1
2.6,54,3.0,0
3.5,35,7.4,1
7.9,97,9.6,1
9.3,54,8.8,1
9.3,100,4.4,0
8.0,59,7.0,1
4.3,38,3.1,0
1.7,71,4.4,0
4.7,61,4.6,0
8.8,78,8.1,1
3.8,28,4.4,0
9.9,100,10.0,1
2.1,75,4.2,0
4.1,99,5.8,1
2.8,84,5.4,1
1.2,62,2.7,0
7.8,90,8.7,1
0.6,97,3.5,0
2.1,24,1.4,0
3.3,79,6.0,1
6.4,40,6.4,1
4.3,20,3.9,0
7.8,76,2.8,0
7.1,67,7.7,1
6.2,63,6.6,1
6.2,99,8.7,1
7.0,91,7.2,1
7.0,30,5.6,1
3.4,78,5.2,1
0.4,76,4.4,0
3.5,77,4.7,0
0.3,84,4.5,0
3.6,59,4.9,0
7.6,100,9.3,1
1.4,94,4.6,0
4.2,91,5.8,1
2.3,35,1.8,0
7.8,22,4.8,0
1.1,28,2.2,0
3.9,47,8.7,1
9.3,88,8.2,1
6.3,73,7.4,1
9.1,51,7.8,1
6.1,61,5.8,1
1.3,79,4.8,0
7.7,40,6.7,1
4.8,33,3.3,0
0.9,100,4.2,0
3.1,77,5.6,1
7.2,83,3.6,0
1.6,83,4.3,0
6.7,83,3.5,0
4.8,52,5.9,1
6.2,76,7.6,1
0.5,78,3.1,0
7.1,26,5.8,1
3.2,56,3.3,0
7.5,99,3.2,0
0.9,48,8.3,1
9.0,40,7.7,1
0.4,26,1.5,0
8.7,48,7.4,1
8.4,64,7.6,1
8.9,81,3.2,0
1.4,22,1.2,0
1.2,29,1.5,0
1.1,31,1.0,0
8.9,81,3.7,0
0.3,40,2.4,0
5.6,51,4.7,0
4.9,67,6.2,1
5.4,81,6.6,1
0.4,75,3.6,0
0.3,49,1.4,0
